by,descendants,id,kids,score,time,text,title,parts,type,url
steffenmaier,,16273611,,1,1517405129,,Impraise (YC S14) Is Hiring Software Engineers in Amsterdam and Lisbon,,job,http://jobs.impraise.com
_sentient,,16272608,,1,1517390447,"Hi there,
We&#x27;re Lawn Love, a new type of lawn care service. We bring software and data (truckloads of data!) to the sprawling, low-tech lawn care market. We’re hiring experienced full-stack engineers to help us reinvent this $83B&#x2F;year industry.You can reach us at jobs@lawnlove.com. Come make history with us.",Lawn Love (YC S14) Is Hiring Software Engineers in Sunny San Diego,,job,
sofia_,,16270083,,1,1517354987,"Healthcare cost represents 17% of US GDP. That’s 3 trillion dollars! A large portion of that is costs associated with medical doctors, nurses and healthcare staff in general. The world of healthcare staffing is dominated by telephones, fax machines, and paper calendars. We’re building a future where the people who work in healthcare are better managed and are empowered to be the healers they want to be.support healthcare professionals during the onboarding process, specifically as it relates to collecting, uploading and auditing personal documentation including resume, immunity records, licenses and diplomas and certifications.
Requirements:You may also have&#x2F;be:
* BA or BS Degree from a University or College.
* Aptitude for consistently heavy outbound telephone (call and text) &amp; email activity daily.
* Highly-detail oriented individuals only, as in obsessive about details.
* Professional attitude, tone, and demeanor.
* Previous experience with Gmail&#x2F; Gmail apps, Slack&#x2F;communication tool, Front or other mass email tool is a plus, but not required.
* Prior or current customer service or administrative work also a plus, but not required.
* Any type of medical experience is a plus.<p>Perks:
Flexible work environment (work from home, from the office or anywhere you can be productive)
Competitive pay
Company equity for the right person!",Care Revolutions (S16) Is Hiring an Administrative Documentation Specialist,,job,
eliam2,,16264866,,1,1517317278,,Willing (YC S15) Is Hiring a Head Designer,,job,https://willing.com/designer
yunhakim,,16263870,,1,1517302596,,Simple Habit Is Hiring a Lead Product Designer,,job,https://jobs.lever.co/simplehabit/2f129ca6-4df3-460e-b138-437dc8bb1d4c?lever-origin=applied&lever-source%5B%5D=Hacker%20News&lever-source%5B%5D=https%3A%2F%2Fnews.ycombinator.com%2Fjobs
burnout1540,,16263040,,1,1517289299,,"HelloSign Is Hiring Engineers in San Francisco: Elixir, PHP, and Front End",,job,https://jobs.lever.co/hellosign?lever-origin=applied&lever-source%5B%5D=HackerNews
ukd1,,16262149,,1,1517275172,,Rainforest QA (YC S12) Is Hiring a Remote/SF Senior Back End Engineer,,job,https://jobs.lever.co/rainforest/16babe9d-d9b3-4ba2-8d76-6c85efe9211e?lever-origin=applied&lever-source=russ-hn
FabioFleitas,,16260841,,1,1517261875,,Tesorio (YC S15) Is Hiring a Lead Data Scientist,,job,https://www.tesorio.com/careers/
the_economist,,16259269,,1,1517248856,,BuildZoom (YC W13) is hiring an engineering manager,,job,https://jobs.lever.co/buildzoom/5d98e8d6-b8be-4871-a1de-109af3cb204d
thedogeye,,16257540,,1,1517235006,,Flexport is hiring a senior React native engineer,,job,https://www.flexport.com/careers/job/893975
jstreebin,,16250675,,1,1517134588,,EasyPost (YC S13) is changing the way shipping works,,job,https://www.easypost.com/jobs
KMinshew,,16250119,,1,1517120738,,The Muse Is Hiring a Full-Stack Engineer,,job,https://www.themuse.com/jobs/themuse/fullstack-engineer-376f2e
